SKU,Inventario_total_bodegas_1_3_5_7
22387,0
22384,0
22386,0
22385,0
04184,24.0
04182,4.0
04181,4.0
04180,4.0
04183,4.0
04179,4.0
112103,6.0
21178,33.0
21179,10.0
04178,2.0
82026,3.0
112102,8.0
65150,10.0
65149,11.0
21177,5.0
32300,10.0
26754,6.0
22382,4.0
22381,4.0
32161,10.0
04177,23.0
124026,5.0
22383,4.0
32299,7.0
87100,5.0
87099,5.0
22379,6.0
22380,6.0
32298,0
87098,0
32296,13.0
R004,0
65147,4.0
32297,7.0
65148,11.0
R003,0
R001,0
22377,0.0
R002,0
22376,2.0
22375,4.0
22378,2.0
59113,1.0
12167,10.0
59114,3.0
160013,14.0
10175,4.0
10173,2.0
10171,4.0
10174,2.0
32295,8.0
17915,4.0
10172,4.0
10170,3.0
99014,2.0
22374,3.0
22373,3.0
22371,0.0
22372,1.0
22369,3.0
22370,3.0
87097,4.0
26753,5.0
26752,2.0
26751,1.0
26750,5.0
26749,0.0
26747,3.0
26746,7.0
98230,0.0
120011,4.0
26748,0.0
26745,0.0
26559,7.0
120012,4.0
98228,4.0
98226,0.0
180001,3.0
32185,0
10169,28.0
08114,8.0
08115,10.0
180000,3.0
32159,0
08113,4.0
21176,5.0
21175,5.0
21174,16.0
21173,4.0
112101,0
65146,16.0
65143,21.0
17713,1.0
65144,3.0
65145,49.0
22368,1.0
22367,8.0
22366,3.0
22365,4.0
33119,1.0
22364,2.0
33118,1.0
33117,1.0
82025,4.0
22363,3.0
24065,11.0
82024,5.0
22362,1.0
22361,2.0
22359,3.0
22360,2.0
24020,15.0
24023,21.0
24004,9.0
24019,32.0
21073,10.0
24022,11.0
21067,0.0
24021,48.0
21062,0.0
21031,0.0
21076,23.0
21016,10.0
21010,0
21004,0.0
21011,13.0
21051,0.0
03013,0.0
03014,0.0
04012,3.0
03018,4.0
04015,2.0
04010,0.0
04006,3.0
03002,7.0
04014,4.0
03001,0.0
03012,0.0
99010,53.0
04016,6.0
33088,12.0
32002,0.0
32117,1.0
32001,0.0
32089,2.0
31127,11.0
31128,6.0
10142,19.0
09030,1.0
4911,0
10001,5.0
4908,0
112080,1.0
08001,1.0
15015,9.0
09020,11.0
26708,0
08035,3.0
112079,6.0
26702,14.0
32171,0.0
32089,2.0
59112,2.0
32292,8.0
32001,0.0
32293,11.0
32002,0.0
32117,1.0
32291,3.0
32290,5.0
26744,12.0
26742,3.0
26743,16.0
22358,11.0
26741,6.0
65142,14.0
159008,1.0
159007,2.0
65141,8.0
21172,0
98156,12.0
21171,7.0
21170,4.0
22357,3.0
124025,3.0
22356,2.0
22355,1.0
160012,12.0
09033,6.0
10168,9.0
09031,6.0
160011,6.0
09032,7.0
08112,3.0
22354,0
08111,6.0
17712,4.0
22207,0.0
22069,0
22195,0.0
22194,0
21168,10.0
21169,0
21167,0
65140,0
21166,3.0
22353,0.0
22352,1.0
22351,4.0
17912,4.0
17914,14.0
17913,2.0
17910,0.0
17911,0.0
17909,0.0
17908,0.0
17907,3.0
17905,2.0
17906,0.0
17904,0.0
17900,10.0
17902,2.0
17903,0.0
17901,2.0
10167,4.0
10166,7.0
17711,2.0
160009,9.0
17710,3.0
17612,11.0
17709,3.0
17613,8.0
160010,2.0
10165,14.0
160008,6.0
17707,5.0
17708,4.0
17706,4.0
65139,1.0
65137,1.0
65138,5.0
21165,0
17704,3.0
17705,1.0
112100,4.0
65136,18.0
21164,0
87096,4.0
21163,22.0
21161,16.0
21162,3.0
99013,0.0
26740,1.0
26738,2.0
26737,91.0
65135,22.0
26739,8.0
32287,0
12166,9.0
12165,7.0
12164,6.0
26736,4.0
17801,11.0
04175,3.0
17800,12.0
26735,4.0
04176,1.0
04174,3.0
04173,6.0
32284,8.0
32286,0
32285,0
26734,4.0
32282,3.0
26733,2.0
32283,6.0
87095,0
32281,2.0
87094,10.0
87093,2.0
35053,6.0
112099,0.0
35052,0.0
124024,1.0
17703,6.0
17701,6.0
17702,6.0
17700,2.0
22346,0.0
22347,2.0
22345,6.0
22344,1.0
22342,3.0
17611,12.0
17610,12.0
22343,5.0
17607,12.0
17609,12.0
17608,11.0
17606,12.0
17605,12.0
17604,12.0
17602,12.0
17603,12.0
112098,6.0
17601,6.0
112097,13.0
17600,12.0
49021,5.0
159006,6.0
65134,8.0
159005,6.0
59110,8.0
59111,1.0
59109,3.0
59106,0.0
59105,1.0
59107,0
59108,6.0
32279,11.0
59104,2.0
32280,14.0
32278,11.0
32277,14.0
32276,7.0
32272,0.0
32273,18.0
32274,8.0
32275,0.0
99012,0.0
97015,4.0
97014,4.0
97013,5.0
74024,3.0
75000,11.0
74023,2.0
74022,2.0
74020,12.0
74021,0.0
97012,2.0
97011,3.0
97010,2.0
22340,3.0
26732,2.0
22341,3.0
22338,4.0
33115,4.0
33116,10.0
33114,2.0
22339,1.0
33113,5.0
120010,12.0
04172,1.0
04171,4.0
21157,13.0
124023,0.0
26731,2.0
104024,3.0
26730,4.0
07192,2.0
07191,2.0
07190,0.0
09029,7.0
07138,2.0
113061,5.0
22337,5.0
26724,4.0
26726,0
65133,1.0
26727,0
80073,6.0
80072,8.0
80045,0
32271,0
22336,0
22335,0
22333,7.0
112095,4.0
22332,6.0
112096,0.0
22331,2.0
22330,2.0
26723,5.0
22329,3.0
22328,2.0
87092,21.0
87091,4.0
21156,1.0
85040,0
21154,24.0
21155,5.0
159004,3.0
65132,89.0
159003,2.0
21153,0
21148,9.0
21149,4.0
21150,2.0
21147,18.0
65130,0
65131,6.0
22326,2.0
31137,0
22327,2.0
22325,2.0
22324,0.0
03046,2.0
12163,8.0
26722,5.0
26721,4.0
08109,16.0
08110,0
08108,0.0
26720,5.0
26719,7.0
10163,0.0
10164,11.0
65128,0
65127,1.0
10162,27.0
65126,17.0
32267,0
32265,5.0
76039,0
87090,0.0
124022,2.0
32264,0.0
32266,9.0
87089,1.0
33112,0.0
33111,1.0
80070,9.0
80071,6.0
03045,3.0
03044,0.0
32262,14.0
87088,5.0
32263,18.0
26717,21.0
22321,3.0
22322,0.0
22319,2.0
22320,2.0
22318,1.0
22317,2.0
22316,0.0
12082,0.0
12083,0
12079,2.0
12081,9.0
12080,6.0
26716,2.0
21145,7.0
33110,0.0
21146,11.0
170019,0.0
170017,5.0
170018,20.0
170016,15.0
170015,10.0
170014,17.0
170011,15.0
170010,18.0
170013,14.0
170012,19.0
170008,8.0
170009,9.0
170007,10.0
170005,8.0
170006,10.0
170003,10.0
170002,10.0
170001,10.0
85039,0
85038,0
170004,11.0
10159,31.0
10160,21.0
