PROMOCION;MES;SKU ;PRODUCTO;LABORATORIO;FECHA;DESCUENTO
HOT SALES;DICIEMBRE;19031;Bellanew X 28 Tabletas;ABBOTT;DEL 28 AL 31 DE DICIEMBRE;22%
HOT SALES;DICIEMBRE;13010;Tretinex 10 Mg X 30 Caps;ABBOTT;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;13011;Tretinex 20Mg X 30Caps;ABBOTT;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;13025;Acnoic Gel X 30 G;ABBOTT;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;13026;Acnoic Plus Gel X 30 G (Frasco Duo);ABBOTT;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;13027;Bemerin Locion *120 Ml;ABBOTT;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;13028;Lacrisyn 4.3 Mg X 10 Ml;ABBOTT;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;13029;Disgrasil 120 Mg X 30 Caps Orlistat;ABBOTT;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;13030;Disgrasil 120 Mg X 60 Caps Orlistat;ABBOTT;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;13031;Desigel Sin Sabor X 30 Sobres Colageno;ABBOTT;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;13032;Salufit Malteada Vainilla X 400 Gr;ABBOTT;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;13033;Nocarb 500 Mg X 60 Tab Phaseolus Vulgaris;ABBOTT;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;13034;Bemerin Locion X 60 Ml;ABBOTT;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;19008;Funide 1% Crema X 15Gr;ABBOTT;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;19009;Funide 250 Mg X 14 Tabletas;ABBOTT;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;19026;Funide Locion 1% X 30 Ml;ABBOTT;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;19029;Daptomix 20G Gel(Dapsona5%);ABBOTT;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;19032;Imik 3.75 % Crema 5 Gr;ABBOTT;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;23009;Apeplus X 30 Tabletas;ABBOTT;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;39001;Clinacyn Gel X 30 Gr;ABBOTT;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;26668;Kit Exomega Control Crema X 200Ml + Exomega Baño 100Ml;ADERMA;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;26676;Kit Exomega Control Crema X 400Ml Gratis Dermopan Barra;ADERMA;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;26686;Kit Epitheliale Ah Ultra Spf 50+ X 40Ml+ Epithelial A.H Duo X 40 Ml Aderma;ADERMA;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;26703;Kit Exomega Aceite De Ducha X 750 Ml +Aceite Ducha 100Ml;ADERMA;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;26001;Dermopan Barra X 100 Gr Aderma;ADERMA;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;26002;Dermalibour Crema X 50 Ml Aderma;ADERMA;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;26003;Epithelial A.H Ultra Crema X 40 Ml Aderma;ADERMA;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;26006;Exomega Control Crema X 200Ml Aderma;ADERMA;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;26269;Exomega Control Aceite De Ducha X 200 Ml Aderma;ADERMA;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;26338;Exomega Control Crema X 400 Ml Aderma;ADERMA;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;26572;Exomega Control Aceite De Ducha X 500 Ml Aderma;ADERMA;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;26607;Protec Ac Fluido Matificante Spf 50 X 40 Ml Aderma;ADERMA;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;26608;Protec Spf 50 Crema X 40 Ml Aderma;ADERMA;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;26609;Protec Ad Spf 50 Crema X 150 Ml Aderma;ADERMA;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;26631;Epithelial A.H Duo Massage Aceite X 40 Ml Aderma;ADERMA;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;26657;Protect Fluido Invisible Spf 50+ X 40 Ml Aderma;ADERMA;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;26666;Exomega Control Baume X 200 Ml Aderma;ADERMA;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;26681;Exomega Control Spray X 200 Ml Aderma;ADERMA;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;26688;Exomega Control Aceite De Ducha X 750 Ml Aderma;ADERMA;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;26680;Epitheliale Ah Ultra Spf 50 + X 40Ml Aderma;ADERMA;DEL 28 AL 31 DE DICIEMBRE;25%
HOT SALES;DICIEMBRE;01002;Aldoquin 4 Crx 15Gr;ALDOQUIN LTDA;DEL 28 AL 31 DE DICIEMBRE;20%
HOT SALES;DICIEMBRE;01007;Alquin Gel 0.05% X 30Gr;ALDOQUIN LTDA;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;01008;Ban Crema X 15Gr;ALDOQUIN LTDA;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;01009;Estriamed X 120 Gr;ALDOQUIN LTDA;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;01011;Retnol X 60Ml;ALDOQUIN LTDA;DEL 28 AL 31 DE DICIEMBRE;10%
HOT SALES;DICIEMBRE;07180;Sulfox Crema X 15 Gr.;ALDOQUIN LTDA;DEL 28 AL 31 DE DICIEMBRE;10%
