ID,SKU,Nombre,"¿Está destacado?"
61,03020,"Aqualen Kids Emulsión X 240Ml",0
63,03012,"Aqualen Plus Locion Hidratante X 240Gr Humancare",0
65,03001,"Aqualen X 240Gr Humancare",0
67,03002,"Biopil X 150 Gr Humancare",0
69,03018,"Ozinack Gel Con Color X 30Gr Humancare",0
71,04006,"Photoderm Akn Mat Spf 30 X 40 Ml Bioderma",0
79,04010,"Photoderm Spray 50+ X 200 Ml Bioderma",0
83,03014,"Pilcrece Loción Anticaida X 100Ml Humancare",0
85,03013,"Pilcrece Shampoo Anticaida X 200Ml Humancare ",0
87,04012,"Sebium Gel X 200 Ml Bioderma",0
89,04014,"Sebium H2O X 250 Ml Bioderma",0
91,04015,"Sensibio Forte Crema X 40 Ml Bioderma",0
93,04016,"Sensibio H2O Solucion X 250 Ml Bioderma",0
95,03019,"Soyl Syndet Kids Liquido X 500 Gr",0
97,03008,"Soyl Syndet Liquido X 240Gr Humancare",0
99,01013,"Sulfox Crema X 15 Gr",0
101,03017,"Suncare Antiox Spf 30+ X 30Gr",0
103,03007,"Suncare Gel X 60Gr",0
105,03011,"Suncare Spf 50+ Plus  Oil Free X 60 Ml Ultrafluido",0
107,01014,"Tersaderm 0.05% X 15Gr",0
977,21004,"Agua Thermal X 150 Ml Laroche- Posay",0
978,21005,"Anthelios Dermoped Spf 50+ Leche X 100 Ml",0
980,21010,"Effaclar Concentrado Barra X 70Gr ",0
981,21011,"Effaclar Gel Purificante Piel Grasa X 200Ml ",0
985,21016,"Lipikar Syndet X 400Ml",0
989,21029,"Effaclar H X 40 Ml",0
991,21031,"Pure Vitamin C Uv Spf 25 X 40Ml ",0
993,21036,"Kerium Anticaida Shampoo X 200Ml",0
1001,21049,"Kerium Deux Sh (Suavidad Extrema) X 400Ml",0
1003,21051,"Redermic R X 30 Ml",0
1005,21062,"Redermic R Ojos X 15Ml ",0
1007,21067,"Pigmentclar Ojos X 15Ml ",0
1011,21073,"Effaclar Bb Blur Natural Spf 24 X 30Ml",0
1013,21076,"Anthelios Uvmune 400 Crema Gel Con Color Oil Control Spf 50 X 50Ml(antes xl )",0
1019,24004,"Avenova Jabon X 100 Gr Novaderma",0
1021,24019,"Sunaid Gel Color Piel Clara X 30 Gr Novaderma",0
1051,24020,"Sunaid Gel Color Piel  Oscura X 30 Gr Novaderma",0
1053,24021,"Sunaid Compacto Piel Clara  X 12 Gr Novaderma",0
1055,24022,"Sunaid Compacto Piel Oscura X 12 Gr Novaderma",0
1057,24023,"Sunaid Compacto Translucido X 12 Gr Novaderma",0
1059,24024,"Sunaid Gel Antisolar X 100Gr Novaderma",0
1061,24026,"Sunaid Base Cubriente Piel Oscura Novaderma ",0
1063,24027,"Sunaid Base Cubriente Piel Clara Novaderma ",0
1065,24028,"Sunaid Polvo Suelto Piel Clara  Novaderma",0
1067,24029,"Sunaid Polvo Suelto Piel Oscura Novaderma",0
1069,24032,"Splendore Sh Anticaida X 220 Ml Novaderma",0
1071,24034,"Novafresh Locion Seboreg X 160 Ml  Novaderma ",0
1073,24037,"Acuaface Emulsion Hidratante X 30 Gr Novaderma",0
1075,24038,"Avemel Champu Anticaspa X 200 Grs Novaderma",0
1077,24044,"Resvenova Crema X 30 Gr Novaderma",0
1079,24046,"Acuanova Care Crema Estrias X 220 Gr Novaderma",0
1081,24048,"Resvenova Serum Reactivador Celular X 30 Ml Novaderma",0
1083,24049,"Octodir Plus X 220 Ml Novaderma",0
1085,24050,"Resvenova Fluido Ultrahidratante X 50 Gr Novaderma",0
1087,24052,"Sunaid Evolution Color X 40 Gr Novaderma",0
1089,24053,"Sunaid Evolution  Toque Seda X 40 Gr Novaderma",0
1091,24054,"Neomelan Ultra X 30 Gr Novaderma",0
1093,32003,"Azelac Gel X 50 Ml Sesderma ",0
1099,32007,"Btses Gel Inhibidor Arrugas X 15 Ml Sesderma ",0
1101,32008,"Btses Serum Hidratante Antiarrugas X 30 Ml Sesderma ",0
1105,32010,"Ses Vitamin C Crema Facial X 50 Ml Sesderma ",0
