PROMOCION;MES;SKU ;PRODUCTO;LABORATORIO;FECHA;DESCUENTO
DIA DEL AHORRO;OCTUBRE;13010;Tretinex 10 Mg X 30 Caps;ABBOTT;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;13011;Tretinex 20Mg X 30Caps;ABBOTT;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;13025;Acnoic Gel X 30 G;ABBOTT;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;13026;Acnoic Plus Gel X 30 G (Frasco Duo);ABBOTT;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;13027;Bemerin Locion *120 Ml;ABBOTT;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;13028;Lacrisyn 4.3 Mg X 10 Ml;ABBOTT;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;13029;Disgrasil 120 Mg X 30 Caps Orlistat;ABBOTT;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;13030;Disgrasil 120 Mg X 60 Caps Orlistat;ABBOTT;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;13032;Salufit Malteada Vainilla X 400 Gr;ABBOTT;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;13033;Nocarb 500 Mg X 60 Tab Phaseolus Vulgaris;ABBOTT;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;13034;Bemerin Locion X 60 Ml;ABBOTT;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;19008;Funide 1% Crema X 15Gr;ABBOTT;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;19009;Funide 250 Mg X 14 Tabletas;ABBOTT;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;19026;Funide Locion 1% X 30 Ml;ABBOTT;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;19029;Daptomix 20G Gel(Dapsona5%);ABBOTT;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;19031;Bellanew 28 Tabletas;ABBOTT;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;19032;Imik 3.75 % Crema 5 Gr;ABBOTT;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;23009;Apeplus X 30 Tabletas;ABBOTT;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;39001;Clinacyn Gel X 30 Gr;ABBOTT;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;26668;Kit Exomega Control Crema X 200Ml + Exomega Baño 100Ml;ADERMA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;26676;Kit Exomega Control Crema X 400Ml Gratis Dermopan Barra;ADERMA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;26686;Kit Epitheliale Ah Ultra Spf 50+ X 40Ml+ Epithelial A.H Duo X 40 Ml Aderma;ADERMA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;26703;Kit Exomega Aceite De Ducha X 750 Ml +Aceite Ducha 100Ml;ADERMA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;26001;Dermopan Barra X 100 Gr Aderma;ADERMA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;26002;Dermalibour Crema X 50 Ml Aderma;ADERMA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;26003;Epithelial A.H Ultra Crema X 40 Ml Aderma;ADERMA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;26006;Exomega Control Crema X 200Ml Aderma;ADERMA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;26269;Exomega Control Aceite De Ducha X 200 Ml Aderma;ADERMA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;26338;Exomega Control Crema X 400 Ml Aderma;ADERMA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;26572;Exomega Control Aceite De Ducha X 500 Ml Aderma;ADERMA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;26607;Protec Ac Fluido Matificante Spf 50 X 40 Ml Aderma;ADERMA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;26608;Protec Spf 50 Crema X 40 Ml Aderma;ADERMA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;26609;Protec Ad Spf 50 Crema X 150 Ml Aderma;ADERMA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;26631;Epithelial A.H Duo Massage Aceite X 40 Ml Aderma;ADERMA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;26657;Protect Fluido Invisible Spf 50+ X 40 Ml Aderma;ADERMA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;26666;Exomega Control Baume X 200 Ml Aderma;ADERMA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;26680;Epitheliale Ah Ultra Spf 50+ X 40Ml Aderma;ADERMA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;26681;Exomega Control Spray X 200 Ml Aderma;ADERMA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;26688;Exomega Control Aceite De Ducha X 750 Ml Aderma;ADERMA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;01002;Aldoquin 4 Crx 15Gr;ALDOQUIN LTDA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;01007;Alquin Gel 0.05% X 30Gr;ALDOQUIN LTDA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;01008;Ban Crema X 15Gr;ALDOQUIN LTDA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;01009;Estriamed X 120 Gr;ALDOQUIN LTDA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;01011;Retnol X 60Ml;ALDOQUIN LTDA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;07180;Sulfox Crema X 15 Gr.;ALDOQUIN LTDA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;01014;Tersaderm 0.05% X 15Gr;ALDOQUIN LTDA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;01015;Tersaderm 0.05% X 30Gr;ALDOQUIN LTDA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;01016;Tersaderm Ii X 15 Gr;ALDOQUIN LTDA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;01020;New Collagen X 60Gr;ALDOQUIN LTDA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;01021;Melaskit Crema Para El Día X 60Gr;ALDOQUIN LTDA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;01023;Vitapiel Crema X 120Gr;ALDOQUIN LTDA;31 DE OCTUBRE Y 1 DE NOVIEMBRE;10%
DIA DEL AHORRO;OCTUBRE;26007;Base Clear Neutral 400 X 30Ml Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26010;Base Clear Buff 200 X 30Ml Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26019;Deli Liquido Cafe 222 Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26020;Deli Liquido Negro 221 Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26028;Polvo Clear Ligth/Med 200 Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26029;Polvo Clear C Ligth 100 Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26030;Polvo Clear C Medium 300 Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26117;Base Liq Truly Neutral 220 Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26118;Base Liq Truly Beige 240 Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26162;Base Liq Truly Sand 260 Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26166;Base Smart Shade 200 Light/Medium X 30Ml Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26167;Base Smart Shade Light 100 X 30Ml Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26168;Base Smart Shade Medium 300 X 30Ml Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26201;Polvo Suelto Ligth/Med Smart Shade 200 X 28.3 G Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26203;Polvo Suelto Smart Shade Ligth 100 X 28.3 G Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26204;Desmaquillante Oil Free X 118 Ml Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26216;Base Smart Shade Antiedad 100 Light X 30 Ml Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26217;Base Smart Shade Antiedad 200 Ligth/Medium X 30 Ml Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26218;Base Smart Shade Antiedad 300 Medium X 30 Ml Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26219;Corrector Clear Ligth/Medium 200 Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26230;Pañitos Nutritivo X 80 Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26231;Pestañina Get Up Cafe 030 Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26349;Rubor Smart Shade Pink/Rose 10 X 6.8 G Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26350;Rubor Smart Shade Nude-Mauve 20 X 6.8 G Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26352;Rubor Smart Shade Bronzer 40 X 6.8 G Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26454;Delineador Lapiz Retractil Negro 205 Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26455;Delineador Lapiz Retractil Cafe 207 Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26467;Deline Ojos Negro Gel 031 Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26468;Deline Ojos Gel Smooth Liner Ojos Cafe 034 Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26487;Pestañina Multi Beneficio Negra 502 Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26489;Pestañina Multi Beneficio Waterproof Negra 504 Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26495;Brow Pencil 802 Brunette Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26496;Pen Eyeliner 208 Black Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26497;Pen Eyeliner 209 Brown (Punta Bola) Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26499;Pen Eyeliner 210 Navy(Punta Bola) Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
DIA DEL AHORRO;OCTUBRE;26503;Corrector Smart Shade 010 /Light Almay;ALMAY;31 DE OCTUBRE Y 1 DE NOVIEMBRE;25%
